City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,kosong,38.3788,128.4676,3.27,73,7,4.34,KR,1704905337
332,callao,-12.0667,-77.15,26.16,65,0,5.66,PE,1704905338
333,san patricio,28.017,-97.5169,19.92,46,49,6.33,US,1704905004
334,ojinaga,29.5667,-104.4167,14.21,24,0,1.54,MX,1704905341
335,arteche,12.2645,125.4048,25.84,85,81,3.57,PH,1704905342
336,taroa,8.7058,171.2275,27.37,72,99,9.46,MH,1704905343
337,st. john's,47.5649,-52.7093,-3.18,72,75,1.54,CA,1704905118
338,vanimo,-2.6741,141.3028,26.15,87,100,0.92,PG,1704905346
339,nuku'alofa,-21.1333,-175.2,25.19,100,40,3.09,TO,1704905252
340,ulaangom,49.9811,92.0667,-20.92,92,92,1.58,MN,1704905283
341,shevchenko,48.5,35.0,-2.79,97,94,2.8,UA,1704904757
342,sao tome,0.3365,6.7273,25.02,88,100,4.12,ST,1704905010
343,porto novo,6.4965,2.6036,30.9,67,7,4.52,BJ,1704905239
344,singkawang,0.9,109.0,24.97,94,100,2.15,ID,1704905354
345,khandyga,62.6667,135.6,-48.79,99,34,0.99,RU,1704905355
346,kichmengskiy gorodok,59.9816,45.7854,-16.25,97,98,2.65,RU,1704905357
347,rio claro,-22.4114,-47.5614,33.55,54,17,1.7,BR,1704905135
348,calliope,-24.0,151.2,24.91,83,100,2.06,AU,1704905360
349,beyneu,45.3167,55.2,-3.45,71,100,6.33,KZ,1704905361
350,newman,37.3138,-121.0208,6.27,72,13,1.23,US,1704905324
351,gadzhiyevo,69.2551,33.3362,-6.28,75,100,11.65,RU,1704905301
352,jerez de los caballeros,38.3206,-6.7726,9.8,89,94,1.86,ES,1704905367
353,marka,1.7159,44.7717,25.88,79,41,9.54,SO,1704905368
354,trincomalee,8.5711,81.2335,26.91,80,100,6.39,LK,1704905369
355,vilyuchinsk,52.9306,158.4028,-18.93,69,100,3.12,RU,1704905371
356,saint-philippe,-21.3585,55.7679,25.77,82,75,5.53,RE,1704905203
357,quelimane,-17.8786,36.8883,29.97,79,40,5.66,MZ,1704905373
358,holualoa,19.6228,-155.9522,19.91,94,100,4.63,US,1704905375
359,chifeng,42.2683,118.9636,-6.33,76,100,4.13,CN,1704905376
